"","site_code","date_full","period","minute_hm","n_segments","total_n_calls","mean_interval","mean_peakfreq","mean_bandw","mean_centroid","min_freq","max_freq","minute_label"
"116","BJS",2024-06-29,"T3_late","1230",1,12,0.265545454545454,5691.66666666667,4083.33333333333,5091.66666666667,1000,9100,"BJS_20240629_1230"
"117","BJS",2024-06-29,"T3_late","1330",7,64,0.344855338541667,4029.6875,1587.5,4042.1875,1000,6700,"BJS_20240629_1330"
"118","BJS",2024-06-30,"T3_late","0930",1,3,1.2665,6100,2400,5533.33333333333,4800,7400,"BJS_20240630_0930"
"119","BJS",2024-07-01,"T3_late","0650",1,4,0.241333333333333,4950,1925,4925,3200,6800,"BJS_20240701_0650"
"120","BJS",2024-07-01,"T3_late","1030",2,20,0.354611111111111,3830,2285,4405,1300,7700,"BJS_20240701_1030"
"121","BJS",2024-07-02,"T3_late","1420",1,5,0.65325,5140,4800,4980,1200,9300,"BJS_20240702_1420"
"122","BJS",2024-07-02,"T3_late","1450",4,29,0.383379310344828,3324.13793103448,2565.51724137931,3713.79310344828,800,8000,"BJS_20240702_1450"
"123","BJS",2024-07-02,"T3_late","1520",1,6,0.5388,3683.33333333333,1250,3933.33333333333,2000,4900,"BJS_20240702_1520"
"124","BJS",2024-07-03,"T3_late","0810",1,6,0.576,3583.33333333333,4516.66666666667,4550,1000,9100,"BJS_20240703_0810"
"125","BJS",2024-07-03,"T3_late","0940",1,3,0.397,5933.33333333333,5833.33333333333,5033.33333333333,1000,9300,"BJS_20240703_0940"
"126","BJS",2024-07-03,"T3_late","1140",1,3,1.3855,3900,1566.66666666667,4000,2400,4900,"BJS_20240703_1140"
"127","BJS",2024-07-03,"T3_late","1200",14,48,0.938276041666667,3893.75,1981.25,4258.33333333333,1200,9100,"BJS_20240703_1200"
"128","BJS",2024-07-03,"T3_late","1720",1,17,0.2421875,3052.94117647059,1741.17647058823,3982.35294117647,1300,7400,"BJS_20240703_1720"
"129","BJS",2024-07-04,"T3_late","1040",4,31,0.32181746031746,5767.74193548387,2438.70967741935,5461.29032258064,1200,8200,"BJS_20240704_1040"
"130","BJS",2024-07-04,"T3_late","1140",1,9,0.360875,2944.44444444444,3122.22222222222,3877.77777777778,1000,8600,"BJS_20240704_1140"
"131","BJS",2024-07-05,"T3_late","0930",4,18,0.583133333333333,4966.66666666667,3577.77777777778,4544.44444444444,1000,8700,"BJS_20240705_0930"
"132","BJS",2024-07-05,"T3_late","1000",8,34,0.577039215686275,3397.05882352941,1864.70588235294,3811.76470588235,800,9100,"BJS_20240705_1000"
"133","BJS",2024-07-05,"T3_late","1230",5,36,0.378923214285714,3144.44444444444,2000,3858.33333333333,1000,6800,"BJS_20240705_1230"
"134","BJS",2024-07-06,"T3_late","0930",1,3,1.368,2600,2800,3600,1000,6300,"BJS_20240706_0930"
"135","BJS",2024-07-06,"T3_late","1340",6,28,0.663789285714286,2146.42857142857,1496.42857142857,3653.57142857143,1200,8700,"BJS_20240706_1340"
"136","BJS",2024-07-06,"T3_late","1410",2,11,0.584695454545455,2818.18181818182,3136.36363636364,4300,800,9100,"BJS_20240706_1410"
"137","BJS",2024-07-07,"T3_late","0820",2,23,0.281007525083612,3121.73913043478,2060.86956521739,4086.95652173913,1500,7500,"BJS_20240707_0820"
"138","BJS",2024-07-07,"T3_late","0950",5,31,0.502245967741936,2812.90322580645,2377.41935483871,3603.22580645161,800,8400,"BJS_20240707_0950"
"139","BJS",2024-07-07,"T3_late","1010",1,5,0.7215,6320,3000,5260,3900,8400,"BJS_20240707_1010"
"140","BJS",2024-07-07,"T3_late","1050",3,23,0.385793944099379,2582.60869565217,2704.34782608696,3569.5652173913,1000,8400,"BJS_20240707_1050"
"141","BJS",2024-07-07,"T3_late","1130",2,17,0.384820855614973,3229.41176470588,1411.76470588235,3364.70588235294,1200,6000,"BJS_20240707_1130"
"142","BJS",2024-07-07,"T3_late","1330",1,6,0.555,2300,1800,3416.66666666667,1000,6500,"BJS_20240707_1330"
"143","BJS",2024-07-08,"T3_late","0720",1,11,0.3992,6236.36363636364,2554.54545454545,5827.27272727273,4400,8600,"BJS_20240708_0720"
"144","BJS",2024-07-08,"T3_late","1240",1,7,0.6425,5428.57142857143,3871.42857142857,5028.57142857143,1200,8700,"BJS_20240708_1240"
