base_time,car_driving,frog,insect,car_horn,bird,human_voice,human_knocking,rain,music,site
YZL_20240626_134000,60,0,60,0,13.141000000000002,0,0,0,0,YZL
YZL_20240627_073000,60,0,60,0,23.539,0,0,0,0,YZL
YZL_20240627_073000,60,0,60,0,23.539,0,0,0,0,YZL
YZL_20240627_073000,60,0,60,0,23.539,0,0,0,0,YZL
YZL_20240627_101000,60,0,60,0,3.5649999999999995,0,0,0,0,YZL
YZL_20240627_101000,60,0,60,0,3.5649999999999995,0,0,0,0,YZL
YZL_20240627_101000,60,0,60,0,3.5649999999999995,0,0,0,0,YZL
YZL_20240627_101000,60,0,60,0,3.5649999999999995,0,0,0,0,YZL
YZL_20240627_101000,60,0,60,0,3.5649999999999995,0,0,0,0,YZL
YZL_20240627_101000,60,0,60,0,3.5649999999999995,0,0,0,0,YZL
YZL_20240627_101000,60,0,60,0,3.5649999999999995,0,0,0,0,YZL
YZL_20240627_101000,60,0,60,0,3.5649999999999995,0,0,0,0,YZL
YZL_20240627_101000,60,0,60,0,3.5649999999999995,0,0,0,0,YZL
YZL_20240627_101000,60,0,60,0,3.5649999999999995,0,0,0,0,YZL
YZL_20240627_101000,60,0,60,0,3.5649999999999995,0,0,0,0,YZL
YZL_20240627_101000,60,0,60,0,3.5649999999999995,0,0,0,0,YZL
YZL_20240627_102000,60,0,60,0,9.988,0,0,0,0,YZL
YZL_20240627_102000,60,0,60,0,9.988,0,0,0,0,YZL
YZL_20240627_102000,60,0,60,0,9.988,0,0,0,0,YZL
YZL_20240627_102000,60,0,60,0,9.988,0,0,0,0,YZL
YZL_20240627_102000,60,0,60,0,9.988,0,0,0,0,YZL
YZL_20240627_102000,60,0,60,0,9.988,0,0,0,0,YZL
YZL_20240627_104000,60,0,60,0,5.176,0,0,0,0,YZL
YZL_20240627_104000,60,0,60,0,5.176,0,0,0,0,YZL
YZL_20240627_104000,60,0,60,0,5.176,0,0,0,0,YZL
YZL_20240627_104000,60,0,60,0,5.176,0,0,0,0,YZL
YZL_20240627_104000,60,0,60,0,5.176,0,0,0,0,YZL
YZL_20240627_104000,60,0,60,0,5.176,0,0,0,0,YZL
YZL_20240627_104000,60,0,60,0,5.176,0,0,0,0,YZL
YZL_20240627_104000,60,0,60,0,5.176,0,0,0,0,YZL
YZL_20240627_104000,60,0,60,0,5.176,0,0,0,0,YZL
YZL_20240627_121000,60,0,60,0,5.34,0,0,0,0,YZL
YZL_20240627_130000,60,0,60,0,3.2590000000000003,0,0,0,0,YZL
YZL_20240627_130000,60,0,60,0,3.2590000000000003,0,0,0,0,YZL
YZL_20240627_130000,60,0,60,0,3.2590000000000003,0,0,0,0,YZL
YZL_20240627_130000,60,0,60,0,3.2590000000000003,0,0,0,0,YZL
YZL_20240627_131000,50,0,60,0,6.388999999999999,0,0,0,0,YZL
YZL_20240627_131000,50,0,60,0,6.388999999999999,0,0,0,0,YZL
YZL_20240627_131000,50,0,60,0,6.388999999999999,0,0,0,0,YZL
YZL_20240627_131000,50,0,60,0,6.388999999999999,0,0,0,0,YZL
YZL_20240627_131000,50,0,60,0,6.388999999999999,0,0,0,0,YZL
YZL_20240627_131000,50,0,60,0,6.388999999999999,0,0,0,0,YZL
YZL_20240627_131000,50,0,60,0,6.388999999999999,0,0,0,0,YZL
YZL_20240627_131000,50,0,60,0,6.388999999999999,0,0,0,0,YZL
YZL_20240627_131000,50,0,60,0,6.388999999999999,0,0,0,0,YZL
YZL_20240627_131000,50,0,60,0,6.388999999999999,0,0,0,0,YZL
YZL_20240627_131000,50,0,60,0,6.388999999999999,0,0,0,0,YZL
YZL_20240627_131000,50,0,60,0,6.388999999999999,0,0,0,0,YZL
YZL_20240627_132000,21.68,0,60,0,9.648,0,0,0,0,YZL
YZL_20240627_132000,21.68,0,60,0,9.648,0,0,0,0,YZL
YZL_20240627_132000,21.68,0,60,0,9.648,0,0,0,0,YZL
YZL_20240627_132000,21.68,0,60,0,9.648,0,0,0,0,YZL
YZL_20240628_062000,60,0,60,0,8.66,0,0,0,0,YZL
YZL_20240628_090000,60,0,60,1.6640000000000006,11.011000000000003,0,0,0,0,YZL
YZL_20240628_090000,60,0,60,1.6640000000000006,11.011000000000003,0,0,0,0,YZL
YZL_20240628_090000,60,0,60,1.6640000000000006,11.011000000000003,0,0,0,0,YZL
YZL_20240628_090000,60,0,60,1.6640000000000006,11.011000000000003,0,0,0,0,YZL
YZL_20240628_090000,60,0,60,1.6640000000000006,11.011000000000003,0,0,0,0,YZL
YZL_20240628_091000,60,0,60,0,12.152,0,0,0,0,YZL
YZL_20240628_093000,60,0,60,0,21.400000000000002,0,0,0,0,YZL
YZL_20240628_101000,60,0,60,0,9.526000000000002,0,0,0,0,YZL
