"","site_code","date_full","period","minute_hm","n_segments","total_n_calls","mean_interval","mean_peakfreq","mean_bandw","mean_centroid","min_freq","max_freq","minute_label","base_time","car_driving","frog","insect","car_horn","bird","human_voice","human_knocking","rain","music","site","low_freq_strength","mid_high_freq_strength","low_mid_high_freq_strength","constant_strength","pulse_strength","structural_strength","hour","minute","time_decimal"
"56","BJS",2024-05-16,"T1_early","0920",2,15,0.344831746031746,3073.33333333333,2493.33333333333,3820,1200,7000,"BJS_20240516_0920","BJS_20240516_092000",30,0,60,0,11.529,0,0.256,0,0,"BJS",0.166666666666667,0.596075,0.00106666666666667,0.5,0.00142222222222222,0.06405,9,20,9.33333333333333
"57","BJS",2024-05-17,"T2_mid","0630",1,7,0.327833333333333,4457.14285714286,1814.28571428571,4128.57142857143,2700,6800,"BJS_20240517_0630","BJS_20240517_063000",60,0,60,0,14.483,0,0,0,0,"BJS",0.333333333333333,0.620691666666667,0,0.666666666666667,0,0.0804611111111111,6,30,6.5
"58","BJS",2024-05-18,"T2_mid","0650",1,7,0.433833333333333,3157.14285714286,3800,3857.14285714286,1000,8200,"BJS_20240518_0650","BJS_20240518_065000",24.432,0,60,0,31.46,0.256,0,0,0,"BJS",0.137155555555556,0.762166666666667,0,0.469066666666667,0,0.1762,6,50,6.83333333333333
"59","BJS",2024-05-18,"T2_mid","1120",1,13,0.273166666666667,3438.46153846154,1507.69230769231,3592.30769230769,1700,5100,"BJS_20240518_1120","BJS_20240518_112000",60,0,60,0,11.105,4.8,0.256,0,0,"BJS",0.36,0.592541666666667,0.00106666666666667,0.666666666666667,0.00142222222222222,0.0883611111111111,11,20,11.3333333333333
"60","BJS",2024-05-19,"T2_mid","0610",1,8,0.371,3325,1950,3662.5,1500,5800,"BJS_20240519_0610","BJS_20240519_061000",0,0,60,0,18.601,0,0,0,0,"BJS",0,0.655008333333333,0,0.333333333333333,0,0.103338888888889,6,10,6.16666666666667
"61","BJS",2024-05-19,"T2_mid","0640",1,3,0.259,5100,2266.66666666667,4800,4100,6800,"BJS_20240519_0640","BJS_20240519_064000",10.976,0.256,60,0,1.719,0,0,0,0,"BJS",0.0609777777777778,0.514325,0.00106666666666667,0.394311111111111,0.00142222222222222,0.00955,6,40,6.66666666666667
"62","BJS",2024-05-19,"T2_mid","0710",1,15,0.277928571428571,3426.66666666667,2000,4013.33333333333,1700,5800,"BJS_20240519_0710","BJS_20240519_071000",0,0,60,0,1.858,0,0,0,0,"BJS",0,0.515483333333333,0,0.333333333333333,0,0.0103222222222222,7,10,7.16666666666667
"63","BJS",2024-05-19,"T2_mid","0850",1,4,0.541333333333333,2125,1425,2625,1300,3600,"BJS_20240519_0850","BJS_20240519_085000",60,0,60,0,22.023,3.52,0.384,0,0,"BJS",0.352888888888889,0.683525,0.0016,0.666666666666667,0.00213333333333333,0.141905555555556,8,50,8.83333333333333
"64","BJS",2024-05-19,"T2_mid","0950",2,13,0.504549450549451,5307.69230769231,2546.15384615385,4938.46153846154,800,8900,"BJS_20240519_0950","BJS_20240519_095000",52.192,0,60,0,7.282,6.416,0,0,0,"BJS",0.3256,0.560683333333333,0,0.623288888888889,0,0.0761,9,50,9.83333333333333
"65","BJS",2024-05-19,"T2_mid","1140",2,13,0.369291208791209,4130.76923076923,1484.61538461538,3907.69230769231,1500,5300,"BJS_20240519_1140","BJS_20240519_114000",60,0,60,0,26.364,2.88,0,0,0,"BJS",0.349333333333333,0.7197,0,0.666666666666667,0,0.162466666666667,11,40,11.6666666666667
